##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	SRR8283889.sra_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	13696922
Sequences flagged as poor quality	0
Sequence length	101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.738207314022816	33.0	31.0	34.0	25.0	34.0
2	29.877340544101806	34.0	31.0	34.0	23.0	34.0
3	29.941110418822564	34.0	31.0	34.0	25.0	34.0
4	33.177174185557895	37.0	35.0	37.0	26.0	37.0
5	33.13891580896788	37.0	35.0	37.0	26.0	37.0
6	33.10418764157378	37.0	35.0	37.0	26.0	37.0
7	33.07104559695967	37.0	35.0	37.0	25.0	37.0
8	33.02119439681412	37.0	35.0	37.0	25.0	37.0
9	34.5433495934342	39.0	37.0	39.0	25.0	39.0
10-11	34.522061489435366	39.0	37.0	39.0	24.0	39.0
12-13	34.46760670024988	39.0	37.0	39.0	23.0	39.0
14-15	35.75362081349372	40.0	38.0	41.0	22.5	41.0
16-17	35.69080075070881	40.0	38.0	41.0	20.5	41.0
18-19	35.6572625586975	40.0	38.0	41.0	19.0	41.0
20-21	35.63584380490741	40.0	38.0	41.0	18.0	41.0
22-23	35.53827743196611	40.0	38.0	41.0	17.5	41.0
24-25	35.50444884624443	40.0	38.0	41.0	17.5	41.0
26-27	35.43721308334821	40.0	38.0	41.0	16.0	41.0
28-29	35.372821207567654	40.0	38.0	41.0	15.0	41.0
30-31	35.297058565420755	40.0	37.0	41.0	11.0	41.0
32-33	35.21581341413786	40.0	37.0	41.0	9.0	41.0
34-35	35.13844344006631	40.0	37.0	41.0	9.0	41.0
36-37	35.05033313323972	40.0	37.0	41.0	8.0	41.0
38-39	34.95562809658988	40.0	37.0	41.0	7.5	41.0
40-41	34.86406993483645	40.0	36.0	41.0	2.0	41.0
42-43	34.73671168602698	40.0	36.0	41.0	2.0	41.0
44-45	34.640317328228925	40.0	36.0	41.0	2.0	41.0
46-47	34.51103649418461	40.0	35.0	41.0	2.0	41.0
48-49	34.389980245196696	40.0	35.0	41.0	2.0	41.0
50-51	33.37777352459187	38.5	34.0	40.0	2.0	40.5
52-53	33.61658663165345	38.5	34.5	40.0	2.0	40.5
54-55	34.0305701894192	39.0	35.0	41.0	2.0	41.0
56-57	33.947415412017385	39.0	35.0	41.0	2.0	41.0
58-59	33.771565867134235	39.0	35.0	41.0	2.0	41.0
60-61	33.53922206025558	38.5	34.5	41.0	2.0	41.0
62-63	33.289992853868924	38.0	34.0	41.0	2.0	41.0
64-65	33.03875126104975	37.0	34.0	40.0	2.0	41.0
66-67	32.74085780002251	37.0	34.0	40.0	2.0	41.0
68-69	32.447877559644425	36.0	34.0	39.5	2.0	41.0
70-71	32.14136186947695	36.0	33.0	39.0	2.0	41.0
72-73	31.825498166668396	35.0	33.0	39.0	2.0	41.0
74-75	31.51113750227971	35.0	33.0	37.5	2.0	40.0
76-77	31.200001248455674	35.0	33.0	37.0	2.0	39.5
78-79	30.896202336554154	35.0	33.0	37.0	2.0	39.0
80-81	30.61967860370381	35.0	32.5	36.0	2.0	39.0
82-83	30.360360853336246	35.0	32.0	36.0	2.0	37.5
84-85	30.121433742559095	35.0	32.0	35.5	2.0	37.0
86-87	29.91105019799339	35.0	32.0	35.0	2.0	37.0
88-89	29.71855512501276	35.0	32.0	35.0	2.0	36.0
90-91	29.545312516198894	35.0	32.0	35.0	2.0	36.0
92-93	29.3850475676214	35.0	31.5	35.0	2.0	36.0
94-95	29.219018951849183	35.0	31.0	35.0	2.0	36.0
96-97	29.041268213398602	35.0	31.0	35.0	2.0	35.0
98-99	28.835707175670564	35.0	31.0	35.0	2.0	35.0
100-101	27.820867235719092	34.0	28.0	35.0	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.3230080436363778
1101	2	-0.28978259920161165
1101	3	-0.2281663348160805
1101	4	-0.2797954137727814
1101	5	-0.32560841734769497
1101	6	-0.33366383682054135
1101	7	-0.32892628792227896
1101	8	-0.3890974643001641
1101	9	-0.30427540638962114
1101	10-11	-0.2520235897960603
1101	12-13	-0.273887167872104
1101	14-15	-0.24312320295147316
1101	16-17	-0.2292295340046806
1101	18-19	-0.20211314686156356
1101	20-21	-0.2627778609760938
1101	22-23	-0.21898214843702846
1101	24-25	-0.30096035914935726
1101	26-27	-0.2813200164010041
1101	28-29	-0.2609238903527782
1101	30-31	-0.3430201738526861
1101	32-33	-0.2651728822836432
1101	34-35	-0.22984738521748938
1101	36-37	-0.21418152336364926
1101	38-39	-0.27579340080421133
1101	40-41	-0.23504451408278726
1101	42-43	-0.22227204982513626
1101	44-45	-0.23956620949908825
1101	46-47	-0.24613113398240927
1101	48-49	-0.1853907794602847
1101	50-51	-0.2758862618753781
1101	52-53	-0.23677906066742338
1101	54-55	-0.12684456065034766
1101	56-57	-0.18201093289491155
1101	58-59	-0.15441863196590333
1101	60-61	-0.09760425377680093
1101	62-63	-0.11365398631286183
1101	64-65	-0.11541139086595109
1101	66-67	-0.05502472699292582
1101	68-69	-0.04177465881014797
1101	70-71	-0.10123142235656957
1101	72-73	-0.1102479147535611
1101	74-75	-0.036759475940502995
1101	76-77	-0.051645249263618354
1101	78-79	-0.06596693902402961
1101	80-81	-0.05472741007404025
1101	82-83	-0.05903648281647733
1101	84-85	-0.035542445630770914
1101	86-87	-0.021540247992991368
1101	88-89	-0.07063600439306938
1101	90-91	-0.04890690358728733
1101	92-93	-0.04030794031396212
1101	94-95	-0.043493580336296134
1101	96-97	-0.06102272654292662
1101	98-99	-0.014912984622849734
1101	100-101	-0.14749188884114162
1102	1	-0.3404147961833175
1102	2	-0.31836549188439633
1102	3	-0.22454813487874503
1102	4	-0.3258940587637227
1102	5	-0.3537820674801324
1102	6	-0.374329477948109
1102	7	-0.3438657424679832
1102	8	-0.34028644782942763
1102	9	-0.30521483747077127
1102	10-11	-0.3293205868850819
1102	12-13	-0.31576936338153416
1102	14-15	-0.2569869698131697
1102	16-17	-0.30078670401366736
1102	18-19	-0.2821787924059862
1102	20-21	-0.2553021088335683
1102	22-23	-0.2418181298144546
1102	24-25	-0.23876037764495095
1102	26-27	-0.26456765234704704
1102	28-29	-0.26713997199286865
1102	30-31	-0.24772056598681758
1102	32-33	-0.2659216189933815
1102	34-35	-0.19114936783439163
1102	36-37	-0.2283185763811275
1102	38-39	-0.2587969915713231
1102	40-41	-0.254145631823782
1102	42-43	-0.2810573553543563
1102	44-45	-0.24454754482552232
1102	46-47	-0.21463773925475493
1102	48-49	-0.20737240257259515
1102	50-51	-0.3482597534150287
1102	52-53	-0.2728979300347234
1102	54-55	-0.18792876113703727
1102	56-57	-0.17084282936929895
1102	58-59	-0.13294161411766225
1102	60-61	-0.17814807245375874
1102	62-63	-0.17913656250019727
1102	64-65	-0.17632580459023472
1102	66-67	-0.18856375130910408
1102	68-69	-0.1554757265854434
1102	70-71	-0.1786697243785227
1102	72-73	-0.22086781380076204
1102	74-75	-0.18624626470567662
1102	76-77	-0.14724464788086777
1102	78-79	-0.17318403240053826
1102	80-81	-0.14897985694407367
1102	82-83	-0.1373544227113257
1102	84-85	-0.16086216055022362
1102	86-87	-0.15514188816541363
1102	88-89	-0.1315976612391303
1102	90-91	-0.1454690874196558
1102	92-93	-0.10649073679206822
1102	94-95	-0.03622572760536613
1102	96-97	-0.10163091056577755
1102	98-99	-0.1239014759485606
1102	100-101	-0.39792340546577876
1103	1	-0.2654925163905695
1103	2	-0.2268095849526297
1103	3	-0.19517306545653312
1103	4	-0.26075276414565707
1103	5	-0.3224082917612421
1103	6	-0.309489492061239
1103	7	-0.32250768067078184
1103	8	-0.32194719046740516
1103	9	-0.2925570938723112
1103	10-11	-0.2522869407978803
1103	12-13	-0.24478997116074197
1103	14-15	-0.23638391131556347
1103	16-17	-0.20388678960716788
1103	18-19	-0.19482742127648578
1103	20-21	-0.17630923726956382
1103	22-23	-0.1519501790274589
1103	24-25	-0.13812724707892698
1103	26-27	-0.21309810664600093
1103	28-29	-0.27819621868511035
1103	30-31	-0.1850070559344772
1103	32-33	-0.2045290094369676
1103	34-35	-0.16709339556407343
1103	36-37	-0.2160042685450705
1103	38-39	-0.19470514843612108
1103	40-41	-0.2806375233095153
1103	42-43	-0.22922416794378364
1103	44-45	-0.28635662231052095
1103	46-47	-0.251110960249342
1103	48-49	-0.20396081543383104
1103	50-51	-0.2532684924463169
1103	52-53	-0.17347021407447727
1103	54-55	-0.15195374659920446
1103	56-57	-0.14538351568544527
1103	58-59	-0.13478674214855602
1103	60-61	-0.15202614418242177
1103	62-63	-0.16398383363559077
1103	64-65	-0.1317729489688304
1103	66-67	-0.06379467408547157
1103	68-69	-0.11046920906491664
1103	70-71	-0.09696126826315776
1103	72-73	-0.06487760804966314
1103	74-75	-0.04365330428123926
1103	76-77	-0.02429698079386
1103	78-79	-0.049212869570332884
1103	80-81	-0.08833552081642893
1103	82-83	-0.08179958406488197
1103	84-85	-0.09186218341871566
1103	86-87	-0.0891996899151799
1103	88-89	-0.07032618935757284
1103	90-91	-0.00805549765428637
1103	92-93	-0.02097082160150876
1103	94-95	-0.07441962302447891
1103	96-97	-0.08324315566374807
1103	98-99	-0.053954628860370946
1103	100-101	-0.253421301564412
1104	1	-0.16759324840717582
1104	2	-0.13316478896289397
1104	3	-0.04757533554858284
1104	4	-0.10970107092742154
1104	5	-0.07950490339428029
1104	6	-0.10895667759996286
1104	7	-0.09331493399373159
