##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	SRR8283891.sra_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12185687
Sequences flagged as poor quality	0
Sequence length	101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.568593055114576	34.0	31.0	34.0	31.0	34.0
2	32.748438557465	34.0	31.0	34.0	31.0	34.0
3	32.82837381265414	34.0	31.0	34.0	31.0	34.0
4	36.305615350205535	37.0	37.0	37.0	35.0	37.0
5	36.30449263960251	37.0	37.0	37.0	35.0	37.0
6	36.23397072319353	37.0	37.0	37.0	35.0	37.0
7	36.203249681367986	37.0	37.0	37.0	35.0	37.0
8	36.14005537808414	37.0	36.0	37.0	35.0	37.0
9	32.78597702370002	39.0	35.0	39.0	10.0	39.0
10-11	35.706148779301486	39.0	35.0	39.0	24.5	39.0
12-13	37.642245160244144	39.0	37.0	39.0	35.0	39.0
14-15	39.25373083191781	40.0	39.0	41.0	36.0	41.0
16-17	39.3096164377109	40.0	39.0	41.0	36.0	41.0
18-19	39.324432836655006	40.5	39.0	41.0	36.0	41.0
20-21	39.32693072618721	40.5	39.0	41.0	36.0	41.0
22-23	39.28257934903465	40.0	39.0	41.0	36.0	41.0
24-25	39.25069017446452	40.5	39.0	41.0	36.0	41.0
26-27	39.17279386874125	40.0	39.0	41.0	36.0	41.0
28-29	39.106067306668876	40.0	39.0	41.0	36.0	41.0
30-31	39.034362075769714	40.0	39.0	41.0	36.0	41.0
32-33	38.97081436606734	40.0	39.0	41.0	35.0	41.0
34-35	38.901613138430356	40.0	38.0	41.0	35.0	41.0
36-37	38.821320250552965	40.0	38.0	41.0	35.0	41.0
38-39	38.74480634534598	40.0	38.0	41.0	35.0	41.0
40-41	38.6720302679693	40.0	38.0	41.0	35.0	41.0
42-43	38.580539816918	40.0	38.0	41.0	35.0	41.0
44-45	38.48584835635447	40.0	38.0	41.0	34.0	41.0
46-47	38.37988494206358	40.0	38.0	41.0	34.0	41.0
48-49	38.243290591658884	40.0	38.0	41.0	34.0	41.0
50-51	38.114668463091164	40.0	37.0	41.0	33.5	41.0
52-53	37.96956261062671	40.0	37.0	41.0	33.0	41.0
54-55	37.80044440662229	40.0	37.0	41.0	33.0	41.0
56-57	37.59918287742004	40.0	36.0	41.0	33.0	41.0
58-59	37.398196055749665	39.0	36.0	41.0	33.0	41.0
60-61	37.1702240505603	39.0	35.0	41.0	32.0	41.0
62-63	36.91492843202029	39.0	35.0	41.0	32.0	41.0
64-65	36.49009136702756	38.0	35.0	40.0	31.0	41.0
66-67	36.23168365476645	37.5	35.0	40.0	31.0	41.0
68-69	36.00281719857075	37.0	35.0	40.0	31.0	41.0
70-71	35.699935752493886	36.5	35.0	39.0	31.0	41.0
72-73	35.36037196753864	36.0	34.5	39.0	31.0	41.0
74-75	35.005101189616965	35.5	34.0	39.0	30.5	40.0
76-77	33.50094528933822	34.5	32.0	36.5	28.0	39.0
78-79	34.42957467231844	35.0	34.0	37.0	30.0	39.0
80-81	34.32549523059307	35.0	34.0	37.0	31.0	39.0
82-83	34.080950955001555	35.0	34.0	36.0	30.5	38.5
84-85	33.83013698776277	35.0	34.0	36.0	30.0	37.0
86-87	33.603624851023994	35.0	34.0	36.0	30.0	37.0
88-89	33.39590143748153	35.0	34.0	35.0	30.0	36.5
90-91	33.229631369983494	35.0	34.0	35.0	30.0	36.0
92-93	33.06439534348782	35.0	34.0	35.0	30.0	36.0
94-95	32.91434258076709	35.0	34.0	35.0	29.5	36.0
96-97	32.739686281126374	35.0	34.0	35.0	29.0	35.5
98-99	32.556842712273834	35.0	34.0	35.0	29.0	35.0
100-101	31.71957338145974	34.5	32.5	35.0	26.5	35.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.07591993022016652
1101	2	0.11965738345374888
1101	3	0.13779292430329093
1101	4	0.13680602718793722
1101	5	0.1359445589060897
1101	6	0.17377727856072056
1101	7	0.1372555370307822
1101	8	0.19888911475639048
1101	9	5.476885580133974
1101	10-11	2.4610375632193566
1101	12-13	0.4699905897610748
1101	14-15	0.35750365061922906
1101	16-17	0.23465755361391416
1101	18-19	0.1508491740442821
1101	20-21	0.1898487364294752
1101	22-23	0.1714818541174239
1101	24-25	0.21122278020754237
1101	26-27	0.2293074169831968
1101	28-29	0.22063807695012372
1101	30-31	0.23347511446652192
1101	32-33	0.19082499126133
1101	34-35	0.22752905610266083
1101	36-37	0.23562273541708834
1101	38-39	0.17194805286867165
1101	40-41	0.17034423527546494
1101	42-43	0.2398114024076463
1101	44-45	0.25607506644944067
1101	46-47	0.18504265485155713
1101	48-49	0.17234182141624643
1101	50-51	0.17739992582234976
1101	52-53	0.24565666545787224
1101	54-55	0.20945940246698314
1101	56-57	0.20982497753305296
1101	58-59	0.19690098941237721
1101	60-61	0.22507827531421043
1101	62-63	0.22828220328226934
1101	64-65	0.39423524974993995
1101	66-67	0.33126635517172787
1101	68-69	0.1938660070175544
1101	70-71	0.20759288859515834
1101	72-73	0.21700864634594552
1101	74-75	0.20859252901183112
1101	76-77	0.1364148568995489
1101	78-79	0.2602069711399295
1101	80-81	0.26402213378172945
1101	82-83	0.2830403824414205
1101	84-85	0.16467756875501038
1101	86-87	0.1971110092143178
1101	88-89	0.19945722178081127
1101	90-91	0.18634885112155786
1101	92-93	0.13033076401360688
1101	94-95	0.2088876001509945
1101	96-97	0.1546003103316238
1101	98-99	-0.014772383766562314
1101	100-101	-0.1264943127522642
1102	1	-0.005427649050488981
1102	2	0.11123762653849667
1102	3	0.09942529416052537
1102	4	0.10328288393360197
1102	5	0.11911901223675869
1102	6	0.13730216473303614
1102	7	0.12542513035077008
1102	8	0.17991522815901817
1102	9	5.436502093945855
1102	10-11	2.4629485422161324
1102	12-13	0.45508417526999523
1102	14-15	0.29004369966761345
1102	16-17	0.19746492579121622
1102	18-19	0.19340666758362346
1102	20-21	0.18642454906605366
1102	22-23	0.23310285120090413
1102	24-25	0.21106097974689675
1102	26-27	0.244398573124748
1102	28-29	0.2539764615416047
1102	30-31	0.2610750925886052
1102	32-33	0.25247722306822595
1102	34-35	0.26567801340984687
1102	36-37	0.26335504856356096
1102	38-39	0.26310105563394615
1102	40-41	0.26212877573757254
1102	42-43	0.24384978760306808
1102	44-45	0.3061647727111989
1102	46-47	0.2510708484425308
1102	48-49	0.23574961140050021
1102	50-51	0.2958479683655426
1102	52-53	0.2703150888341739
1102	54-55	0.25844574127339826
1102	56-57	0.2518067297176714
1102	58-59	0.2272584526186492
1102	60-61	0.2873842842472314
1102	62-63	0.2543144313583525
1102	64-65	0.38724247397059486
1102	66-67	0.31060227620094594
1102	68-69	0.290658782745858
1102	70-71	0.2274885652994385
1102	72-73	0.16988143281246693
1102	74-75	0.18157942684494088
1102	76-77	0.14516150663096283
1102	78-79	0.3080385353420425
1102	80-81	0.31310104968844854
1102	82-83	0.29285976884411724
1102	84-85	0.29233558034673734
1102	86-87	0.3078270244189625
1102	88-89	0.2995790771812281
1102	90-91	0.324350830001201
1102	92-93	0.2640062190755401
1102	94-95	0.26175967209770334
1102	96-97	0.25959839771518745
1102	98-99	0.19571299039556322
1102	100-101	-0.010477185712254311
1103	1	0.05301375124132335
1103	2	0.09637121152996997
1103	3	0.1637255351668756
1103	4	0.12749953213919696
1103	5	0.09309700560132228
1103	6	0.13339474788668326
1103	7	0.1196126218724487
1103	8	0.12766346240698567
1103	9	5.355633326778978
1103	10-11	2.3771161471531883
1103	12-13	0.3996748095927174
1103	14-15	0.225880337185707
1103	16-17	0.1427999070880901
1103	18-19	0.11347009624457627
1103	20-21	0.19012451371023076
1103	22-23	0.1598377810202365
